,waldStat_2,df_2,pvalue_2,fdr_2,gene_id
Potri.017G120100,44.15345591,8,5.32E-07,3.89E-06,Potri.017G120100
Potri.017G143132,44.12068055,8,5.40E-07,3.94E-06,Potri.017G143132
Potri.008G207500,44.11576755,8,5.41E-07,3.95E-06,Potri.008G207500
Potri.008G119100,44.08279137,8,5.49E-07,4.01E-06,Potri.008G119100
Potri.012G051900,44.08031927,8,5.49E-07,4.01E-06,Potri.012G051900
Potri.019G100500,44.07012774,8,5.52E-07,4.03E-06,Potri.019G100500
Potri.001G254300,44.06844009,8,5.52E-07,4.03E-06,Potri.001G254300
Potri.018G037800,44.04337539,8,5.58E-07,4.07E-06,Potri.018G037800
Potri.008G047500,44.03930719,8,5.59E-07,4.08E-06,Potri.008G047500
Potri.004G040600,44.02610214,8,5.63E-07,4.10E-06,Potri.004G040600
Potri.014G093900,44.02099049,8,5.64E-07,4.11E-06,Potri.014G093900
Potri.005G184900,44.01393025,8,5.66E-07,4.12E-06,Potri.005G184900
Potri.009G120900,43.99885636,8,5.69E-07,4.15E-06,Potri.009G120900
Potri.006G209700,43.96898086,8,5.77E-07,4.20E-06,Potri.006G209700
Potri.010G073900,43.93183127,8,5.86E-07,4.27E-06,Potri.010G073900
Potri.006G275800,43.92772476,8,5.87E-07,4.27E-06,Potri.006G275800
Potri.018G061901,43.8791431,8,6.00E-07,4.36E-06,Potri.018G061901
Potri.002G044400,43.87640413,8,6.00E-07,4.37E-06,Potri.002G044400
Potri.009G057300,43.86109154,8,6.04E-07,4.39E-06,Potri.009G057300
Potri.019G079600,43.82566287,8,6.14E-07,4.46E-06,Potri.019G079600
Potri.003G213601,43.79033829,8,6.23E-07,4.53E-06,Potri.003G213601
Potri.008G054700,43.78218772,8,6.25E-07,4.54E-06,Potri.008G054700
Potri.004G165300,43.76734333,8,6.30E-07,4.57E-06,Potri.004G165300
Potri.014G117300,43.75834891,8,6.32E-07,4.59E-06,Potri.014G117300
Potri.004G015401,43.74739258,8,6.35E-07,4.61E-06,Potri.004G015401
Potri.006G039200,43.74169704,8,6.37E-07,4.62E-06,Potri.006G039200
Potri.015G004600,43.72829883,8,6.40E-07,4.65E-06,Potri.015G004600
Potri.006G068400,43.72504999,8,6.41E-07,4.65E-06,Potri.006G068400
Potri.005G040100,43.72109085,8,6.42E-07,4.66E-06,Potri.005G040100
Potri.017G054300,43.71800435,8,6.43E-07,4.66E-06,Potri.017G054300
Potri.001G453200,43.71546781,8,6.44E-07,4.67E-06,Potri.001G453200
Potri.001G111500,43.68868634,8,6.51E-07,4.72E-06,Potri.001G111500
