Gene,waldStat,df,pvalue,fcMedian,FDR adjusted_pval,
Potri.007G045200,23.25449955,3,3.57E-05,0.301661028,0.002140535,
Potri.002G108000,20.45189374,2,3.62E-05,0.285748965,0.002163644,
Potri.018G103900,20.44400387,2,3.64E-05,0.365491652,0.002166598,
Potri.005G259600,20.40377639,2,3.71E-05,0.546391295,0.002204935,
Potri.007G011200,20.39549787,2,3.73E-05,0.512187528,0.002208403,
Potri.009G112307,20.38933855,2,3.74E-05,0.3800943,0.002209549,
Potri.006G228900,20.37422587,2,3.77E-05,0.587551887,0.002220629,
Potri.008G107900,20.36468166,2,3.78E-05,0.535540106,0.002225574,
Potri.008G100600,20.33494843,2,3.84E-05,0.246735536,0.002253175,
Potri.019G046000,20.191223,2,4.13E-05,0.602945972,0.002414925,
Potri.007G088800,20.06051185,2,4.40E-05,1.317208562,0.002571515,
Potri.006G201000,20.0327204,2,4.47E-05,0.691772098,0.002600929,
Potri.008G086300,20.01271837,2,4.51E-05,0.411731852,0.002620471,
Potri.001G369400,19.99144317,2,4.56E-05,0.491685668,0.002639092,
Potri.010G207200,19.98853209,2,4.57E-05,0.416329228,0.002639092,
Potri.010G221600,19.91110829,2,4.75E-05,0.325644762,0.002736418,
Potri.008G093100,19.84369656,2,4.91E-05,0.369893399,0.002823183,
Potri.001G123800,19.82104946,2,4.96E-05,0.36605862,0.002848248,
Potri.013G151366,19.81398738,2,4.98E-05,1.047164901,0.002851248,
Potri.001G268200,19.80583766,2,5.00E-05,0.576885922,0.002855821,
Potri.016G055700,19.7826178,2,5.06E-05,0.338091237,0.002882054,
Potri.009G117500,19.75889023,2,5.12E-05,1.466485935,0.002909284,
Potri.003G164800,19.7441586,2,5.16E-05,0.353240817,0.002917831,
Potri.017G054000,19.74321904,2,5.16E-05,0.337868204,0.002917831,
Potri.001G407000,19.66571144,2,5.37E-05,0.431446761,0.00302573,
Potri.002G201000,19.65048873,2,5.41E-05,0.605673658,0.00304143,
Potri.015G054500,19.63258214,2,5.46E-05,0.662840206,0.003061334,
Potri.005G121300,19.60669725,2,5.53E-05,1.531342357,0.003093704,
Potri.007G041100,19.56920639,2,5.63E-05,0.675066999,0.00314463,
Potri.004G086200,19.5410914,2,5.71E-05,0.484472502,0.003181463,
Potri.002G038300,19.52466989,2,5.76E-05,0.392696642,0.003199982,
Potri.002G239400,19.50662621,2,5.81E-05,0.4053106,0.003221239,
Potri.003G162100,19.50178865,2,5.82E-05,0.411929993,0.003221315,
