,waldStat,df,pvalue,logFC1_2,FDR
Potri.010G175500,5.485750131,1,0.019172092,0.659638736,0.130092393
Potri.008G147800,5.483264204,1,0.019199374,-0.715934636,0.130242897
Potri.006G099700,5.482890216,1,0.019203482,0.71369065,0.130242897
Potri.009G108200,5.481950747,1,0.019213805,0.549061921,0.130281669
Potri.003G190101,5.480416401,1,0.019230677,0.506147677,0.130364818
Potri.013G005300,5.478231746,1,0.019254727,-1.385654233,0.130481058
Potri.010G095200,5.47802073,1,0.019257052,1.807552134,0.130481058
Potri.008G019100,5.477413312,1,0.019263745,0.572461323,0.130495145
Potri.005G044700,5.476758138,1,0.019270967,0.496076919,0.130512808
Potri.013G129900,5.474468286,1,0.01929623,1.956654293,0.130652616
Potri.014G053500,5.473984147,1,0.019301576,-0.673044327,0.130657531
Potri.012G080300,5.472986562,1,0.019312596,0.712037474,0.13067593
Potri.003G105000,5.472901574,1,0.019313535,-0.640640991,0.13067593
Potri.008G194100,5.470126008,1,0.019344231,0.537802102,0.130828182
Potri.008G134900,5.469692794,1,0.019349026,0.388685963,0.130828182
Potri.001G101700,5.469540423,1,0.019350713,-0.493074591,0.130828182
Potri.011G098200,5.469194825,1,0.01935454,0.693381061,0.130828182
Potri.012G091400,5.466545463,1,0.019383904,-0.863687351,0.130995358
Potri.006G002700,5.465421334,1,0.019396377,-0.722716199,0.131048336
Potri.001G344900,5.464574035,1,0.019405784,0.501026301,0.131080577
Potri.005G240200,5.463833016,1,0.019414015,-0.346016328,0.131104861
Potri.013G105500,5.460895376,1,0.019446679,-1.135032359,0.131294101
Potri.016G052400,5.456706762,1,0.019493353,0.566791985,0.131571962
Potri.003G108900,5.455459914,1,0.019507269,-0.866505588,0.131571962
Potri.013G073800,5.455021956,1,0.019512159,-0.454554573,0.131571962
Potri.006G049100,5.454829497,1,0.019514308,0.571496443,0.131571962
Potri.005G020600,5.454345704,1,0.019519713,0.532584987,0.131571962
Potri.010G014800,5.454033215,1,0.019523204,0.69187965,0.131571962
Potri.006G220700,5.453985079,1,0.019523742,0.948215857,0.131571962
Potri.012G034200,5.453867854,1,0.019525052,0.435754495,0.131571962
Potri.014G176600,5.450574927,1,0.019561888,1.124888874,0.131788784
Potri.008G171700,5.447162685,1,0.019600134,-1.325364401,0.131990175
Potri.003G081400,5.446909142,1,0.019602979,0.517169531,0.131990175
Potri.003G188700,5.446659408,1,0.019605782,1.029983436,0.131990175
Potri.002G032100,5.445879513,1,0.019614537,1.695168415,0.13201769
Potri.005G021700,5.444666269,1,0.019628165,-0.478321389,0.132038077
